,0
0,-0.0634925817059262
1,-0.7600267851556205
2,-0.38675993187269875
3,-0.15615107125696298
4,-0.27580393339351705
5,-0.27491666906593154
6,-0.41599581488712684
7,-0.8319039851619124
8,-0.006333805617905301
9,-0.7699364646098953
10,-0.19357967958391137
11,-0.017025577116707324
12,-0.31879101430062945
13,-0.9215169275692666
14,-0.24530104366797287
15,-0.14616779882424627
16,-0.031156034683234426
17,-0.22977232766764347
18,-0.46273708745761394
19,-0.18516747343074957
20,-0.49735031678830094
21,-0.27388997091898815
22,-0.8203781886506195
23,-0.21147474463257068
24,-0.5859211125683342
25,-0.03910684458272419
26,-0.7409875692817799
27,-0.6015426567584287
28,-0.976345145480455
29,-0.49663414878085355
30,-0.06390115161363615
31,-0.04526229686946119
32,-0.669817860297966
33,-0.04748837221301169
34,-0.36837318689814946
35,-0.7088082145467468
36,-0.40294686980980954
37,-0.7954460697338636
38,-0.10424575345180054
39,-0.8910521114646629
40,-0.19516217617357678
41,-0.791252661811472
42,-0.29543154396921556
